Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/6/14, 00:00:00, 2062.00, 2067.50, 2049.50, 2060.75, 2770212, 2419029, 0, 0
2016/6/15, 00:00:00, 2059.25, 2074.25, 2054.50, 2058.25, 1917677, 2680115, 0, 0
2016/6/16, 00:00:00, 2057.25, 2066.25, 2035.50, 2065.25, 2446637, 2759833, 0, 0
2016/6/17, 00:00:00, 2063.50, 2069.50, 2048.00, 2053.75, 1833560, 2774441, 0, 0
2016/6/20, 00:00:00, 2065.75, 2087.25, 2065.00, 2069.00, 1598465, 2781532, 0, 0
2016/6/21, 00:00:00, 2073.75, 2080.75, 2068.75, 2075.25, 1400709, 2769327, 0, 0
2016/6/22, 00:00:00, 2074.00, 2086.00, 2070.00, 2071.50, 1419838, 2779028, 0, 0
2016/6/23, 00:00:00, 2077.75, 2108.00, 2077.75, 2100.50, 1314510, 2767191, 0, 0
2016/6/24, 00:00:00, 2110.50, 2114.25, 1993.75, 2013.25, 4174598, 2936291, 0, 0
2016/6/27, 00:00:00, 2008.50, 2017.25, 1976.25, 1979.75, 3021015, 2971282, 0, 0
2016/6/28, 00:00:00, 1977.25, 2024.50, 1977.00, 2023.25, 2285755, 2938555, 0, 0
2016/6/29, 00:00:00, 2023.00, 2069.50, 2017.50, 2061.50, 2065151, 3014342, 0, 0
2016/6/30, 00:00:00, 2067.00, 2086.00, 2051.25, 2085.00, 2301226, 2999878, 0, 0
2016/7/1, 00:00:00, 2081.25, 2095.50, 2076.25, 2091.00, 1665376, 2964059, 0, 0
2016/7/5, 00:00:00, 2094.50, 2099.50, 2067.25, 2077.50, 1862935, 2990285, 0, 0
2016/7/6, 00:00:00, 2078.75, 2089.25, 2060.50, 2088.75, 2054794, 2991181, 0, 0
2016/7/7, 00:00:00, 2086.75, 2096.75, 2076.50, 2086.75, 1666356, 2972636, 0, 0
2016/7/8, 00:00:00, 2086.75, 2120.25, 2082.25, 2115.25, 1962358, 2990354, 0, 0
2016/7/11, 00:00:00, 2115.00, 2131.50, 2114.75, 2125.00, 1467322, 2989265, 0, 0
2016/7/12, 00:00:00, 2125.50, 2144.00, 2123.25, 2140.50, 1704053, 2954643, 0, 0
2016/7/13, 00:00:00, 2140.50, 2147.00, 2134.25, 2140.75, 1633489, 2971143, 0, 0
2016/7/14, 00:00:00, 2140.00, 2162.75, 2137.50, 2152.00, 1782561, 2972196, 0, 0
2016/7/15, 00:00:00, 2151.25, 2159.50, 2138.00, 2147.50, 1518276, 2929258, 0, 0
2016/7/18, 00:00:00, 2149.25, 2158.00, 2147.50, 2154.75, 1205765, 2948315, 0, 0
2016/7/19, 00:00:00, 2154.75, 2155.50, 2146.00, 2153.50, 1151631, 2949823, 0, 0
2016/7/20, 00:00:00, 2153.75, 2164.50, 2150.00, 2162.25, 1134131, 2941964, 0, 0
2016/7/21, 00:00:00, 2163.00, 2165.00, 2148.25, 2152.75, 1300678, 2924164, 0, 0
2016/7/22, 00:00:00, 2153.75, 2164.00, 2150.75, 2162.25, 1133059, 2948052, 0, 0
2016/7/25, 00:00:00, 2162.50, 2167.25, 2150.50, 2157.00, 1264905, 2933070, 0, 0
2016/7/26, 00:00:00, 2157.50, 2162.75, 2148.50, 2158.00, 1609035, 2934771, 0, 0
2016/7/27, 00:00:00, 2160.75, 2164.00, 2146.75, 2155.25, 1642569, 2924284, 0, 0
2016/7/28, 00:00:00, 2157.50, 2163.25, 2148.25, 2159.50, 1622142, 2925225, 0, 0
2016/7/29, 00:00:00, 2160.25, 2166.50, 2152.25, 2163.00, 1718155, 2881534, 0, 0
2016/8/1, 00:00:00, 2168.75, 2172.50, 2154.50, 2159.25, 1659094, 2894206, 0, 0
2016/8/2, 00:00:00, 2160.75, 2165.75, 2136.25, 2147.50, 1958950, 2902982, 0, 0
2016/8/3, 00:00:00, 2147.00, 2153.00, 2140.00, 2151.75, 1371176, 2900807, 0, 0
2016/8/4, 00:00:00, 2151.50, 2159.00, 2148.75, 2154.00, 1239577, 2885181, 0, 0
2016/8/5, 00:00:00, 2154.25, 2173.25, 2154.00, 2171.50, 1370482, 2882132, 0, 0
2016/8/8, 00:00:00, 2170.75, 2177.75, 2168.00, 2170.25, 970557, 2855905, 0, 0
2016/8/9, 00:00:00, 2170.75, 2178.25, 2168.50, 2172.25, 1191826, 2877471, 0, 0
2016/8/10, 00:00:00, 2172.75, 2176.25, 2162.50, 2167.50, 1371937, 2892125, 0, 0
2016/8/11, 00:00:00, 2167.25, 2180.00, 2164.75, 2176.50, 1326004, 2894148, 0, 0
2016/8/12, 00:00:00, 2176.50, 2178.75, 2170.25, 2175.00, 1270055, 2893992, 0, 0
2016/8/15, 00:00:00, 2175.50, 2185.50, 2175.25, 2180.75, 1090675, 2918800, 0, 0
2016/8/16, 00:00:00, 2180.75, 2181.00, 2170.00, 2171.50, 1391768, 2892388, 0, 0
2016/8/17, 00:00:00, 2172.25, 2176.75, 2160.25, 2174.50, 1702425, 2895653, 0, 0
2016/8/18, 00:00:00, 2175.50, 2179.25, 2171.00, 2178.25, 1201115, 2910049, 0, 0
2016/8/19, 00:00:00, 2178.25, 2179.00, 2167.25, 2176.50, 1431860, 2911683, 0, 0
2016/8/22, 00:00:00, 2176.50, 2179.25, 2168.25, 2176.25, 1543249, 2920136, 0, 0
2016/8/23, 00:00:00, 2175.50, 2186.25, 2174.00, 2180.00, 1125503, 2940595, 0, 0
2016/8/24, 00:00:00, 2180.50, 2182.50, 2163.50, 2169.75, 1508048, 2941003, 0, 0
2016/8/25, 00:00:00, 2169.75, 2172.00, 2162.25, 2168.25, 1501328, 2938857, 0, 0
2016/8/26, 00:00:00, 2168.75, 2181.50, 2152.25, 2163.25, 2535682, 2944282, 0, 0
2016/8/29, 00:00:00, 2162.50, 2177.00, 2159.25, 2174.00, 1245215, 2971033, 0, 0
2016/8/30, 00:00:00, 2174.75, 2176.25, 2163.25, 2170.00, 1372345, 2947680, 0, 0
2016/8/31, 00:00:00, 2170.50, 2171.00, 2154.25, 2164.25, 1864629, 2969745, 0, 0
2016/9/1, 00:00:00, 2163.75, 2172.00, 2149.50, 2162.00, 1943431, 2968916, 0, 0
2016/9/2, 00:00:00, 2161.00, 2178.50, 2159.00, 2172.75, 1700143, 2959084, 0, 0
2016/9/6, 00:00:00, 2174.00, 2181.00, 2167.75, 2179.25, 1627643, 2937524, 0, 0
2016/9/7, 00:00:00, 2180.00, 2181.50, 2172.25, 2179.25, 1459543, 2897892, 0, 0
2016/9/8, 00:00:00, 2179.25, 2184.00, 2170.50, 2172.25, 866144, 826592, 0, 0
2016/9/9, 00:00:00, 2171.50, 2173.00, 2114.50, 2117.25, 2818480, 1446823, 0, 0
2016/9/12, 00:00:00, 2116.50, 2157.25, 2101.50, 2153.25, 3327280, 1985223, 0, 0
2016/9/13, 00:00:00, 2151.75, 2152.00, 2113.50, 2123.50, 3724471, 2442135, 0, 0
2016/9/14, 00:00:00, 2126.25, 2135.75, 2113.25, 2114.50, 2546136, 2691473, 0, 0
2016/9/15, 00:00:00, 2116.25, 2145.75, 2109.00, 2139.25, 2301296, 2818070, 0, 0
2016/9/16, 00:00:00, 2137.75, 2138.25, 2124.25, 2133.75, 2064530, 2860255, 0, 0
2016/9/19, 00:00:00, 2133.50, 2148.00, 2129.00, 2134.25, 1527880, 2886280, 0, 0
2016/9/20, 00:00:00, 2135.00, 2144.75, 2130.25, 2132.25, 1385876, 2895223, 0, 0
2016/9/21, 00:00:00, 2131.25, 2158.75, 2127.50, 2157.50, 1826950, 2907266, 0, 0
2016/9/22, 00:00:00, 2157.50, 2174.00, 2154.00, 2169.50, 1523998, 2912107, 0, 0
2016/9/23, 00:00:00, 2169.50, 2170.75, 2157.25, 2159.25, 1448300, 2905516, 0, 0
2016/9/26, 00:00:00, 2157.50, 2160.75, 2138.00, 2141.00, 1602771, 2885941, 0, 0
2016/9/27, 00:00:00, 2140.50, 2155.25, 2134.00, 2154.00, 1659780, 2880648, 0, 0
2016/9/28, 00:00:00, 2153.25, 2166.50, 2145.25, 2164.50, 1733016, 2895144, 0, 0
2016/9/29, 00:00:00, 2163.50, 2168.25, 2138.50, 2149.75, 2306654, 2894929, 0, 0
2016/9/30, 00:00:00, 2147.00, 2169.50, 2137.00, 2161.75, 1989690, 2898001, 0, 0
2016/10/3, 00:00:00, 2160.00, 2165.25, 2148.00, 2154.50, 1406125, 2878657, 0, 0
2016/10/4, 00:00:00, 2155.00, 2161.00, 2137.25, 2146.00, 2143439, 2912290, 0, 0
2016/10/5, 00:00:00, 2145.50, 2159.25, 2142.25, 2154.50, 1369566, 2921730, 0, 0
2016/10/6, 00:00:00, 2154.50, 2158.50, 2144.50, 2157.75, 1209239, 2920563, 0, 0
2016/10/7, 00:00:00, 2156.50, 2162.75, 2139.25, 2147.75, 1958026, 2913295, 0, 0
2016/10/10, 00:00:00, 2153.25, 2164.75, 2149.75, 2160.25, 952867, 2942901, 0, 0
2016/10/11, 00:00:00, 2160.75, 2162.00, 2123.00, 2135.75, 2243746, 2927494, 0, 0
2016/10/12, 00:00:00, 2134.25, 2142.00, 2127.50, 2132.75, 1483026, 2929169, 0, 0
2016/10/13, 00:00:00, 2129.00, 2133.50, 2109.00, 2127.50, 2195134, 2928712, 0, 0
2016/10/14, 00:00:00, 2127.50, 2144.50, 2123.50, 2128.25, 1841156, 2920332, 0, 0
2016/10/17, 00:00:00, 2127.50, 2131.25, 2118.00, 2124.25, 1251946, 2925829, 0, 0
2016/10/18, 00:00:00, 2123.75, 2141.00, 2121.50, 2133.25, 1139317, 2928096, 0, 0
2016/10/19, 00:00:00, 2132.75, 2143.75, 2127.75, 2139.25, 948475, 2944305, 0, 0
2016/10/20, 00:00:00, 2138.75, 2145.75, 2128.00, 2138.25, 1611098, 2944425, 0, 0
