Date, Time, Open, High, Low, Last, Volume, NumberOfTrades, BidVolume, AskVolume
2016/4/4, 00:00:00, 2045.25, 2052.75, 2035.50, 2038.75, 1380117, 2854772, 0, 0
2016/4/5, 00:00:00, 2036.75, 2036.75, 2015.50, 2020.00, 1827488, 2855118, 0, 0
2016/4/6, 00:00:00, 2023.25, 2041.75, 2016.25, 2041.50, 1894599, 2853456, 0, 0
2016/4/7, 00:00:00, 2041.00, 2043.25, 2007.25, 2016.25, 2052195, 2866053, 0, 0
2016/4/8, 00:00:00, 2015.75, 2035.50, 2011.50, 2022.00, 1768420, 2847223, 0, 0
2016/4/11, 00:00:00, 2022.25, 2037.75, 2013.75, 2015.75, 1679757, 2856177, 0, 0
2016/4/12, 00:00:00, 2013.75, 2039.75, 2010.50, 2037.00, 1831285, 2841320, 0, 0
2016/4/13, 00:00:00, 2036.50, 2058.25, 2035.25, 2057.25, 1637033, 2848286, 0, 0
2016/4/14, 00:00:00, 2057.50, 2063.00, 2049.75, 2057.75, 1363745, 2845632, 0, 0
2016/4/15, 00:00:00, 2059.00, 2061.25, 2050.75, 2056.25, 1230494, 2824244, 0, 0
2016/4/18, 00:00:00, 2045.50, 2070.00, 2039.75, 2068.00, 1400343, 2852963, 0, 0
2016/4/19, 00:00:00, 2066.50, 2079.75, 2066.00, 2075.00, 1565161, 2851161, 0, 0
2016/4/20, 00:00:00, 2075.50, 2086.50, 2067.00, 2079.25, 1464683, 2857101, 0, 0
2016/4/21, 00:00:00, 2079.00, 2085.25, 2060.00, 2064.00, 1638276, 2826367, 0, 0
2016/4/22, 00:00:00, 2061.00, 2070.25, 2056.25, 2067.25, 1497994, 2844218, 0, 0
2016/4/25, 00:00:00, 2072.75, 2072.75, 2052.25, 2064.50, 1280888, 2847329, 0, 0
2016/4/26, 00:00:00, 2065.50, 2072.50, 2060.75, 2069.75, 1225834, 2842322, 0, 0
2016/4/27, 00:00:00, 2063.50, 2075.25, 2057.50, 2072.00, 1420203, 2837325, 0, 0
2016/4/28, 00:00:00, 2073.75, 2075.50, 2046.50, 2053.75, 1938653, 2820781, 0, 0
